DateTimeKey,Available Capacity Incl Non Comm Units,Available_Capacity_Incl_Non_Comm_Units_Incl_Total_RE,Residual Demand,RSA Contracted Demand
2026-01-23 00:00:00,37745.154000000002,39037.154000000002,18979.437000000002,20271.16
2026-01-23 01:00:00,37631.536,38741.536,18843.523000000001,19953.912
2026-01-23 02:00:00,37961.552000000003,38826.552000000003,19023.985000000001,19888.992999999999
2026-01-23 03:00:00,37887.957999999999,38637.957999999999,19456.679,20206.378000000001
2026-01-23 04:00:00,37670.839999999997,38294.839999999997,20987.192999999999,21611.088
2026-01-23 05:00:00,37841.267,38339.267,23711.560000000001,24209.366000000002
2026-01-23 06:00:00,37777.701999999997,38505.701999999997,23701.507000000001,24429.045999999998
2026-01-23 07:00:00,37840.873,39554.873,20819.239000000001,22533.718000000001
2026-01-23 08:00:00,37901.800000000003,40442.800000000003,19928.269,22468.968000000001
2026-01-23 09:00:00,37407.406000000003,40241.406000000003,19877.427,22711.774000000001
2026-01-23 10:00:00,37554.822999999997,40576.822999999997,19598.079000000002,22620.034
2026-01-23 11:00:00,37545.892999999996,40743.892999999996,19418.084999999999,22616.169000000002
2026-01-23 12:00:00,37818.410000000003,41175.410000000003,19273.366000000002,22629.897000000001
2026-01-23 13:00:00,38010.336000000003,41452.336000000003,19039.959999999999,22481.918000000001
2026-01-23 14:00:00,37876.110000000001,41405.110000000001,19092.984,22621.598000000002
2026-01-23 15:00:00,37536.010000000002,41181.010000000002,19255.982,22901.348999999998
2026-01-23 16:00:00,37136.533000000003,40834.533000000003,19451.657999999999,23149.633000000002
2026-01-23 17:00:00,37063.805,40635.805,20182.758000000002,23754.556
2026-01-23 18:00:00,37162.686999999998,40066.686999999998,21215.129000000001,24119.300999999999
2026-01-23 19:00:00,37125.927000000003,39259.927000000003,22665.838,24800.236000000001
2026-01-23 20:00:00,36775.321000000004,38692.321000000004,22278.883000000002,24195.691999999999
2026-01-23 21:00:00,36708.245999999999,38501.245999999999,21436.029999999999,23229.215
2026-01-23 22:00:00,36666.197,38081.197,20282.446,21697.338
2026-01-23 23:00:00,36558.180999999997,37739.180999999997,19436.296999999999,20617.080000000002
2026-01-24 00:00:00,36469.684999999998,37377.684999999998,19243.276000000002,20151.296999999999
2026-01-24 01:00:00,36882.241000000002,37640.241000000002,18953.315999999999,19711.025000000001
2026-01-24 02:00:00,36980.677000000003,37635.677000000003,18897.323,19552.796999999999
2026-01-24 03:00:00,36623.589,37159.589,19075.669000000002,19611.957999999999
2026-01-24 04:00:00,36655.089999999997,37248.089999999997,19200.285,19793.098999999998
2026-01-24 05:00:00,37001.182999999997,37739.182999999997,19610.080999999998,20347.607
2026-01-24 06:00:00,38026.197999999997,39130.197999999997,19912.192999999999,21015.957999999999
2026-01-24 07:00:00,37796.144,39739.144,19657.328000000001,21599.962
2026-01-24 08:00:00,37657.050000000003,40105.050000000003,19847.096000000001,22294.742999999999
2026-01-24 09:00:00,37651.885999999999,40301.885999999999,19560.317999999999,22210.121999999999
2026-01-24 10:00:00,38032.478000000003,40751.478000000003,19170.709999999999,21890.096000000001
2026-01-24 11:00:00,38356.000999999997,41126.000999999997,18920.376,21690.195
2026-01-24 12:00:00,38383.695,41208.695,18705.18,21530.605
2026-01-24 13:00:00,37831.478999999999,40765.478999999999,18356.304,21290.312000000002
2026-01-24 14:00:00,37722.008000000002,40796.008000000002,18300.450000000001,21374.106
2026-01-24 15:00:00,38013.644999999997,41085.644999999997,18681.585999999999,21753.762999999999
2026-01-24 16:00:00,38074.485999999997,40981.485999999997,19330.702000000001,22237.866000000002
