WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
22-Dec-2025,3278.1959999999999,2024-25-Residual Energy Demand
29-Dec-2025,3367.348,2024-25-Residual Energy Demand
31-Mar-2025,3615.5,2024-25-Residual Energy Demand
15-Dec-2025,3629.7190000000001,2024-25-Residual Energy Demand
05-Jan-2026,3630.6970000000001,2024-25-Residual Energy Demand
12-Jan-2026,3635.4549999999999,2024-25-Residual Energy Demand
19-Jan-2026,3675.2710000000002,2024-25-Residual Energy Demand
28-Apr-2025,3692.4299999999998,2024-25-Residual Energy Demand
09-Feb-2026,3693.971,2024-25-Residual Energy Demand
23-Feb-2026,3703.0540000000001,2024-25-Residual Energy Demand
21-Apr-2025,3720.5799999999999,2024-25-Residual Energy Demand
26-Jan-2026,3720.7930000000001,2024-25-Residual Energy Demand
02-Feb-2026,3738.8609999999999,2024-25-Residual Energy Demand
08-Dec-2025,3748.0529999999999,2024-25-Residual Energy Demand
05-May-2025,3751.5770000000002,2024-25-Residual Energy Demand
07-Apr-2025,3758.4940000000001,2024-25-Residual Energy Demand
23-Mar-2026,3767.4169999999999,2024-25-Residual Energy Demand
20-Oct-2025,3787.0680000000002,2024-25-Residual Energy Demand
25-Aug-2025,3788.6219999999998,2024-25-Residual Energy Demand
09-Mar-2026,3790.0010000000002,2024-25-Residual Energy Demand
01-Sep-2025,3791.2249999999999,2024-25-Residual Energy Demand
27-Oct-2025,3803.0529999999999,2024-25-Residual Energy Demand
14-Apr-2025,3808.0709999999999,2024-25-Residual Energy Demand
22-Sep-2025,3812.2570000000001,2024-25-Residual Energy Demand
16-Feb-2026,3812.277,2024-25-Residual Energy Demand
16-Mar-2026,3812.884,2024-25-Residual Energy Demand
24-Nov-2025,3815.0340000000001,2024-25-Residual Energy Demand
13-Oct-2025,3821.7510000000002,2024-25-Residual Energy Demand
02-Mar-2026,3824.4459999999999,2024-25-Residual Energy Demand
12-May-2025,3839.259,2024-25-Residual Energy Demand
29-Sep-2025,3853.3789999999999,2024-25-Residual Energy Demand
03-Nov-2025,3858.759,2024-25-Residual Energy Demand
18-Aug-2025,3868.145,2024-25-Residual Energy Demand
01-Dec-2025,3873.9070000000002,2024-25-Residual Energy Demand
10-Nov-2025,3877.5079999999998,2024-25-Residual Energy Demand
06-Oct-2025,3878.0949999999998,2024-25-Residual Energy Demand
19-May-2025,3911.6509999999998,2024-25-Residual Energy Demand
26-May-2025,3922.2220000000002,2024-25-Residual Energy Demand
04-Aug-2025,3923.2849999999999,2024-25-Residual Energy Demand
17-Nov-2025,3946.835,2024-25-Residual Energy Demand
08-Sep-2025,3954.741,2024-25-Residual Energy Demand
15-Sep-2025,3969.0059999999999,2024-25-Residual Energy Demand
11-Aug-2025,3981.3110000000001,2024-25-Residual Energy Demand
30-Jun-2025,4073.136,2024-25-Residual Energy Demand
16-Jun-2025,4076.6729999999998,2024-25-Residual Energy Demand
07-Jul-2025,4085.335,2024-25-Residual Energy Demand
21-Jul-2025,4118.8100000000004,2024-25-Residual Energy Demand
02-Jun-2025,4118.9849999999997,2024-25-Residual Energy Demand
14-Jul-2025,4139.6689999999999,2024-25-Residual Energy Demand
28-Jul-2025,4157.893,2024-25-Residual Energy Demand
23-Jun-2025,4168.5969999999998,2024-25-Residual Energy Demand
09-Jun-2025,4177.723,2024-25-Residual Energy Demand
22-Dec-2025,3670.1390000000001,2024-25-RSA Contracted Energy Demand
29-Dec-2025,3706.567,2024-25-RSA Contracted Energy Demand
