WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
2025-03-31 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-03-31 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-03-31 12:00:00 AM,27347,2024-25-Residual Peak Demand
2025-03-31 12:00:00 AM,27292,2025-26-Residual Peak Demand
2025-03-31 12:00:00 AM,28930,2024-25-RSA Contracted Peak Demand
2025-03-31 12:00:00 AM,29079,2025-26-RSA Contracted Peak Demand
2025-04-07 12:00:00 AM,29416,2025-26-RSA Contracted Peak Demand
2025-04-07 12:00:00 AM,28497,2025-26-Residual Peak Demand
2025-04-07 12:00:00 AM,30279,2024-25-RSA Contracted Peak Demand
2025-04-07 12:00:00 AM,29211,2024-25-Residual Peak Demand
2025-04-07 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-04-07 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-04-14 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-04-14 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-04-14 12:00:00 AM,29147,2024-25-Residual Peak Demand
2025-04-14 12:00:00 AM,30278,2024-25-RSA Contracted Peak Demand
2025-04-14 12:00:00 AM,28045,2025-26-Residual Peak Demand
2025-04-14 12:00:00 AM,29563,2025-26-RSA Contracted Peak Demand
2025-04-21 12:00:00 AM,30243,2025-26-RSA Contracted Peak Demand
2025-04-21 12:00:00 AM,29395,2025-26-Residual Peak Demand
2025-04-21 12:00:00 AM,29413,2024-25-RSA Contracted Peak Demand
2025-04-21 12:00:00 AM,28530,2024-25-Residual Peak Demand
2025-04-21 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-04-21 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-04-28 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-04-28 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-04-28 12:00:00 AM,28704,2024-25-Residual Peak Demand
2025-04-28 12:00:00 AM,29763,2024-25-RSA Contracted Peak Demand
2025-04-28 12:00:00 AM,28361,2025-26-Residual Peak Demand
2025-04-28 12:00:00 AM,29204,2025-26-RSA Contracted Peak Demand
2025-05-05 12:00:00 AM,30834,2025-26-RSA Contracted Peak Demand
2025-05-05 12:00:00 AM,29636,2025-26-Residual Peak Demand
2025-05-05 12:00:00 AM,29728,2024-25-RSA Contracted Peak Demand
2025-05-05 12:00:00 AM,28712,2024-25-Residual Peak Demand
2025-05-05 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-05-05 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-05-12 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-05-12 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-05-12 12:00:00 AM,29403,2024-25-Residual Peak Demand
2025-05-12 12:00:00 AM,30363,2024-25-RSA Contracted Peak Demand
2025-05-12 12:00:00 AM,30522,2025-26-Residual Peak Demand
2025-05-12 12:00:00 AM,31293,2025-26-RSA Contracted Peak Demand
2025-05-19 12:00:00 AM,31662,2025-26-RSA Contracted Peak Demand
2025-05-19 12:00:00 AM,30685,2025-26-Residual Peak Demand
2025-05-19 12:00:00 AM,30542,2024-25-RSA Contracted Peak Demand
2025-05-19 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-05-19 12:00:00 AM,29645,2024-25-Residual Peak Demand
2025-05-19 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-05-26 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-05-26 12:00:00 AM,30332,2024-25-Residual Peak Demand
2025-05-26 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-05-26 12:00:00 AM,31151,2024-25-RSA Contracted Peak Demand
2025-05-26 12:00:00 AM,29797,2025-26-Residual Peak Demand
2025-05-26 12:00:00 AM,31825,2025-26-RSA Contracted Peak Demand
2025-06-02 12:00:00 AM,31192,2025-26-RSA Contracted Peak Demand
2025-06-02 12:00:00 AM,29858,2025-26-Residual Peak Demand
2025-06-02 12:00:00 AM,32217,2024-25-RSA Contracted Peak Demand
2025-06-02 12:00:00 AM,30758,2024-25-Residual Peak Demand
2025-06-02 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-06-02 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-06-09 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-06-09 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-06-09 12:00:00 AM,31658,2024-25-Residual Peak Demand
2025-06-09 12:00:00 AM,32865,2024-25-RSA Contracted Peak Demand
2025-06-09 12:00:00 AM,30797,2025-26-Residual Peak Demand
2025-06-09 12:00:00 AM,31752,2025-26-RSA Contracted Peak Demand
2025-06-16 12:00:00 AM,31657,2025-26-RSA Contracted Peak Demand
2025-06-16 12:00:00 AM,29892,2025-26-Residual Peak Demand
2025-06-16 12:00:00 AM,32668,2024-25-RSA Contracted Peak Demand
2025-06-16 12:00:00 AM,31709,2024-25-Residual Peak Demand
2025-06-16 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-06-16 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-06-23 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-06-23 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-06-23 12:00:00 AM,31338,2024-25-Residual Peak Demand
2025-06-23 12:00:00 AM,32086,2024-25-RSA Contracted Peak Demand
2025-06-23 12:00:00 AM,29873,2025-26-Residual Peak Demand
2025-06-23 12:00:00 AM,31786,2025-26-RSA Contracted Peak Demand
2025-06-30 12:00:00 AM,31181,2025-26-RSA Contracted Peak Demand
2025-06-30 12:00:00 AM,29836,2025-26-Residual Peak Demand
2025-06-30 12:00:00 AM,32092,2024-25-RSA Contracted Peak Demand
2025-06-30 12:00:00 AM,31107,2024-25-Residual Peak Demand
2025-06-30 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-06-30 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-07-07 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-07-07 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-07-07 12:00:00 AM,31255,2024-25-Residual Peak Demand
2025-07-07 12:00:00 AM,33485,2024-25-RSA Contracted Peak Demand
2025-07-07 12:00:00 AM,31153,2025-26-Residual Peak Demand
2025-07-07 12:00:00 AM,31902,2025-26-RSA Contracted Peak Demand
2025-07-14 12:00:00 AM,31271,2025-26-RSA Contracted Peak Demand
2025-07-14 12:00:00 AM,30763,2025-26-Residual Peak Demand
2025-07-14 12:00:00 AM,32122,2024-25-RSA Contracted Peak Demand
2025-07-14 12:00:00 AM,31317,2024-25-Residual Peak Demand
2025-07-14 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-07-14 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-07-21 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-07-21 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-07-21 12:00:00 AM,32044,2024-25-Residual Peak Demand
2025-07-21 12:00:00 AM,32285,2024-25-RSA Contracted Peak Demand
