FIN_YEARS_DESCR,Legend_Descr,ESKOM_OCGT_IPP
202404 / 202504,2024-25 Total (Eskom+IPP),224.40000000000001
202404 / 202504,2025-26 Total (Eskom+IPP),462.19999999999999
202405 / 202505,2025-26 Total (Eskom+IPP),284
202405 / 202505,2024-25 Total (Eskom+IPP),131.19999999999999
202406 / 202506,2025-26 Total (Eskom+IPP),284.19999999999999
202406 / 202506,2024-25 Total (Eskom+IPP),304.19999999999999
202407 / 202507,2025-26 Total (Eskom+IPP),204.09999999999999
202407 / 202507,2024-25 Total (Eskom+IPP),101.7
202408 / 202508,2024-25 Total (Eskom+IPP),109.90000000000001
202408 / 202508,2025-26 Total (Eskom+IPP),119.40000000000001
202409 / 202509,2025-26 Total (Eskom+IPP),65.900000000000006
202409 / 202509,2024-25 Total (Eskom+IPP),421.60000000000002
202410 / 202510,2025-26 Total (Eskom+IPP),93.599999999999994
202410 / 202510,2024-25 Total (Eskom+IPP),144.09999999999999
202411 / 202511,2024-25 Total (Eskom+IPP),175.09999999999999
202411 / 202511,2025-26 Total (Eskom+IPP),92.799999999999997
202412 / 202512,2025-26 Total (Eskom+IPP),80.900000000000006
202412 / 202512,2024-25 Total (Eskom+IPP),418
202501 / 202601,2024-25 Total (Eskom+IPP),484.80000000000001
202501 / 202601,2025-26 Total (Eskom+IPP),77.200000000000003
202502 / 202602,2024-25 Total (Eskom+IPP),490.89999999999998
202502 / 202602,2025-26 Total (Eskom+IPP),21.5
202503 / 202603,2024-25 Total (Eskom+IPP),691.20000000000005
202503 / 202603,2025-26 Total (Eskom+IPP),0
