Week_Start_End_Date,Outage_Intervals,Class_Upper_IntVL,Total_T_Range,TTL_Per_INTERVAL,Total_T_Range_DESC
Tuesday 2026-01-27 To Monday 2026-02-02,7500, to 8000,11.000000,19,From_7500 To_8000
Tuesday 2026-01-27 To Monday 2026-02-02,8000, to 8500,26.000000,43,From_8000 To_8500
Tuesday 2026-02-03 To Monday 2026-02-09,8500, to 9000,8.000000,14,From_8500 To_9000
Tuesday 2026-01-27 To Monday 2026-02-02,8500, to 9000,15.000000,25,From_8500 To_9000
Tuesday 2026-01-27 To Monday 2026-02-02,9000, to 9500,13.000000,21,From_9000 To_9500
Tuesday 2026-02-03 To Monday 2026-02-09,9000, to 9500,13.000000,22,From_9000 To_9500
Tuesday 2026-01-27 To Monday 2026-02-02,9500, to 10000,12.000000,20,From_9500 To_10000
Tuesday 2026-02-03 To Monday 2026-02-09,9500, to 10000,16.000000,27,From_9500 To_10000
Tuesday 2026-01-27 To Monday 2026-02-02,10000, to 10500,16.000000,27,From_10000 To_10500
Tuesday 2026-02-03 To Monday 2026-02-09,10000, to 10500,20.000000,33,From_10000 To_10500
Tuesday 2026-01-27 To Monday 2026-02-02,10500, to 11000,8.000000,13,From_10500 To_11000
Tuesday 2026-02-03 To Monday 2026-02-09,10500, to 11000,22.000000,37,From_10500 To_11000
Tuesday 2026-02-03 To Monday 2026-02-09,11000, to 11500,7.000000,11,From_11000 To_11500
