Week_min_DateKey,Min of UCLF+OCLF,Average of UCLF+OCLF,Max of UCLF+OCLF
2025-03-31,12798.644,14047.17804761904,15065.404
2025-04-07,10983.868,12698.020273809523,15030.668
2025-04-14,10744.581,12577.742053571426,15380.897999999999
2025-04-21,13567.700000000001,14791.108642857138,16482.919000000002
2025-04-28,11100.558999999999,13343.289630952386,15527.851000000001
2025-05-05,11827.263999999999,12780.599928571426,13820.978999999999
2025-05-12,13712.440000000001,15070.370922619044,16146.02
2025-05-19,12966.797,14183.049077380956,15637.835999999999
2025-05-26,12586.874,14257.653059523802,17201.062000000002
2025-06-02,13499.594999999999,14693.830440476191,16496.254000000001
2025-06-09,13512.319,14927.485124999985,16148.521000000001
2025-06-16,12948.482,14654.784517857146,16747.856
2025-06-23,14606.912,15686.846113095229,16909.848000000002
2025-06-30,12282.196,13609.938071428565,15561.771000000001
2025-07-07,12864.99,13817.52592261905,15141.696
2025-07-14,10099.749,12169.632208333336,13782.18
2025-07-21,9231.4359999999997,11605.706261904757,13255.421
2025-07-28,8632.6540000000005,10082.948107142858,11343.428
2025-08-04,10035.309999999999,11936.105053571431,13441.776
2025-08-11,9249.2430000000004,11170.261434523814,12829.84
2025-08-18,6444.674,9131.6652083333265,12428.129000000001
2025-08-25,6652.884,8450.5122559523825,10558.075999999999
2025-09-01,7258.2790000000005,8705.2813095238034,10273.851000000001
2025-09-08,5658.9340000000002,7919.072422619045,10426.507
2025-09-15,6429.6440000000002,8591.5617738095298,10506.578
2025-09-22,7882.1139999999996,9804.4829404761967,11550.942999999999
2025-09-29,8609.2880000000005,9753.8008452380946,11361.886
2025-10-06,9220.4099999999999,11684.446005952379,13936.879999999999
2025-10-13,9356.6790000000001,11959.895952380948,14335.378000000001
2025-10-20,8566.7389999999996,9569.1874880952309,11116.684999999999
2025-10-27,7136.0609999999997,8556.1485178571511,10971.532999999999
2025-11-03,7031.7079999999996,8386.3961190476184,10343.227000000001
2025-11-10,6986.665,9005.4420178571454,10974.192999999999
2025-11-17,7640.3440000000001,8677.0954642857214,10047.559999999999
2025-11-24,9084.5190000000002,10813.516470238092,12555.074000000001
2025-12-01,9862.1830000000009,10857.26577976191,12152.130999999999
2025-12-08,9508.1630000000005,10535.342785714285,12066.934999999999
2025-12-15,9030.1209999999992,10383.704404761907,12441.441999999999
2025-12-22,5555.058,7650.9766190476221,9254.5939999999991
2025-12-29,5796.8980000000001,6822.6511726190429,7774.5519999999997
2026-01-05,6227.96,8096.2289761904758,10273.541999999999
2026-01-12,7174.8230000000003,8547.9930000000022,9839.2330000000002
2026-01-19,6607.9179999999997,8316.4650476190418,10435.439
2026-01-26,7614.2179999999998,8996.1806190476218,10671.312
2026-02-02,8191.2060000000001,9957.3097559523812,11161.722
2026-02-09,10335.09,10678.080666666667,11233.284
